date,nav_bh,nav_ma20,nav_mom60,dd_bh,dd_ma20,dd_mom60
2022-04-28,1.9431008550584583,1.6898574343885255,1.3620433447809996,-0.1454757854234382,-0.16700912857257288,-0.20671730816551992
2022-04-29,1.968325882954343,1.6898574343885255,1.3620433447809996,-0.1343824872581434,-0.16700912857257288,-0.20671730816551992
2022-05-03,1.953802513203614,1.6898574343885255,1.3620433447809996,-0.14076948003669032,-0.16700912857257288,-0.20671730816551992
2022-05-04,1.953802513203614,1.6898574343885255,1.3620433447809996,-0.14076948003669032,-0.16700912857257288,-0.20671730816551992
2022-05-05,1.9759698308015807,1.6898574343885255,1.3620433447809996,-0.13102088175350868,-0.16700912857257288,-0.20671730816551992
2022-05-06,1.9362213019959442,1.6898574343885255,1.3620433447809996,-0.14850123037760954,-0.16700912857257288,-0.20671730816551992
2022-05-09,1.9041164587195,1.6898574343885255,1.3620433447809996,-0.16262008885759394,-0.16700912857257288,-0.20671730816551992
2022-05-10,1.8957081160875386,1.6898574343885255,1.3620433447809996,-0.16631785491269213,-0.16700912857257288,-0.20671730816551992
2022-05-11,1.898765564067411,1.6898574343885255,1.3620433447809996,-0.16497327039109744,-0.16700912857257288,-0.20671730816551992
2022-05-12,1.8536662717687082,1.6898574343885255,1.3620433447809996,-0.18480674286844256,-0.16700912857257288,-0.20671730816551992
2022-05-13,1.8704829570326316,1.6898574343885255,1.3620433447809996,-0.17741121075824595,-0.16700912857257288,-0.20671730816551992
2022-05-16,1.8804202203930636,1.6898574343885255,1.3620433447809996,-0.17304106592196156,-0.16700912857257288,-0.20671730816551992
2022-05-17,1.9010587484215826,1.6898574343885255,1.3620433447809996,-0.16396478873970688,-0.16700912857257288,-0.20671730816551992
2022-05-18,1.9216976699271704,1.6898574343885255,1.3620433447809996,-0.1548883385166745,-0.16700912857257288,-0.20671730816551992
2022-05-19,1.8850063267833606,1.6898574343885255,1.3620433447809996,-0.17102421797969902,-0.16700912857257288,-0.20671730816551992
2022-05-20,1.9056452482889479,1.6898574343885255,1.3620433447809996,-0.16194776775666686,-0.16700912857257288,-0.20671730816551992
2022-05-23,1.909467222212567,1.6898574343885255,1.3620433447809996,-0.16026696500434945,-0.16700912857257288,-0.20671730816551992
2022-05-24,1.8880641682403012,1.6898574343885255,1.3620433447809996,-0.16967946041732684,-0.16700912857257288,-0.20671730816551992
2022-05-25,1.902587669150053,1.6898574343885255,1.3620433447809996,-0.1632924099585208,-0.16700912857257288,-0.20671730816551992
2022-05-26,1.8788912996645932,1.6898574343885255,1.3620433447809996,-0.17371344470314765,-0.16700912857257288,-0.20671730816551992
2022-05-27,1.9186402219472978,1.6898574343885255,1.3620433447809996,-0.1562329230382694,-0.16700912857257288,-0.20671730816551992
2022-05-30,1.9652684349744711,1.72851755214093,1.3620433447809996,-0.13572707177973797,-0.1479521806190225,-0.20671730816551992
2022-05-31,1.9843784357515883,1.7453254197974941,1.3620433447809996,-0.1273230003378919,-0.13966698445917936,-0.20671730816551992
2022-06-01,1.974440910073111,1.73658504252668,1.3620433447809996,-0.13169326053469455,-0.14397542748594538,-0.20671730816551992
2022-06-02,1.9538025132036145,1.718432900762169,1.3620433447809996,-0.1407694800366901,-0.15292326419630398,-0.20671730816551992
2022-06-06,1.9675616193286427,1.7305344824166822,1.3620433447809996,-0.13471859012834742,-0.1469579639035662,-0.20671730816551992
2022-06-07,1.947687092607779,1.7130541893095714,1.3620433447809996,-0.1434588798009162,-0.15557462249960208,-0.20671730816551992
2022-06-08,1.9690905400571133,1.7318792179591467,1.3620433447809996,-0.13404621134716121,-0.14629509589555445,-0.20671730816551992
2022-06-09,1.9629751194612775,1.7265005065065486,1.3620433447809996,-0.13673561111138743,-0.14894645419885277,-0.20671730816551992
2022-06-10,1.9431008550584592,1.7090204441166965,1.3620433447809996,-0.14547578542343786,-0.15756299906614057,-0.20671730816551992
2022-06-13,1.8888284318660027,1.6612860815146735,1.3620433447809996,-0.16934335754712226,-0.18109296525839513,-0.20671730816551992
2022-06-14,1.8857709838861305,1.658918748848515,1.3620433447809996,-0.17068794206871696,-0.1822599077829019,-0.20671730816551992
